,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot,Salary
62,21,Male,Information Technology,0,8,0,0,1,20000
63,21,Male,Information Technology,0,9,0,0,1,70000
64,21,Male,Information Technology,1,8,1,0,1,100000
65,22,Male,Mechanical,0,9,0,0,1,80000
66,22,Male,Computer Science,1,9,0,0,1,90000
67,21,Male,Information Technology,0,8,0,0,1,60000
68,22,Male,Computer Science,2,9,0,0,1,40000
69,21,Male,Mechanical,0,8,1,1,1,40000
70,22,Male,Electrical,1,8,0,0,1,30000
71,22,Male,Information Technology,0,9,0,0,1,50000
72,22,Male,Computer Science,3,9,0,0,1,70000
73,21,Male,Information Technology,0,8,0,0,1,80000
74,22,Male,Information Technology,1,9,0,0,1,60000
75,21,Male,Civil,0,8,0,0,1,100000
76,21,Male,Mechanical,0,9,1,0,1,40000
77,22,Male,Mechanical,0,8,1,1,1,30000
78,22,Male,Information Technology,0,8,0,0,1,90000
79,21,Male,Computer Science,1,8,0,0,1,60000
80,21,Male,Civil,0,9,0,0,1,90000
81,21,Male,Computer Science,1,9,0,0,1,80000
82,22,Male,Mechanical,0,8,1,0,1,50000
83,21,Male,Information Technology,0,8,0,0,1,100000
84,21,Male,Mechanical,0,8,1,0,1,90000
85,21,Male,Electronics And Communication,2,7,0,0,1,20000
86,21,Male,Computer Science,0,8,0,0,1,20000
87,21,Male,Computer Science,0,6,0,0,0,0
88,22,Female,Civil,1,6,1,0,0,0
89,22,Male,Mechanical,1,7,0,0,0,0
90,21,Male,Civil,1,8,0,1,1,90000
91,22,Male,Information Technology,1,6,0,0,1,70000
92,21,Male,Electrical,1,6,0,0,1,80000
93,22,Female,Information Technology,2,7,0,0,0,0
94,22,Male,Electronics And Communication,0,6,0,0,0,0
95,22,Male,Computer Science,1,8,0,0,1,60000
96,21,Male,Computer Science,2,7,0,0,0,0
97,22,Male,Information Technology,0,8,0,0,1,50000
98,22,Female,Information Technology,0,7,0,0,0,0
99,21,Male,Mechanical,0,7,0,0,0,0
100,23,Male,Computer Science,0,7,0,0,1,70000
101,23,Male,Civil,0,6,0,0,1,90000
102,23,Male,Mechanical,1,5,0,0,0,0
103,24,Male,Information Technology,2,6,0,0,1,90000
104,23,Male,Electrical,0,5,1,0,0,0
105,23,Male,Information Technology,1,6,0,0,0,0
106,24,Female,Information Technology,0,6,0,0,1,70000
107,24,Male,Information Technology,1,7,0,0,1,50000
108,24,Male,Civil,1,7,0,1,1,60000
109,23,Male,Information Technology,1,7,0,0,1,50000
110,23,Male,Information Technology,1,6,0,0,1,100000
111,24,Male,Electronics And Communication,1,6,0,1,1,50000
112,24,Male,Electrical,0,7,0,0,0,0
113,23,Male,Information Technology,1,6,0,0,0,0
114,24,Male,Computer Science,0,6,0,0,1,80000
115,23,Male,Electrical,0,6,0,0,0,0
116,23,Male,Information Technology,1,7,1,0,1,30000
117,23,Male,Information Technology,1,7,1,0,1,90000
118,24,Male,Information Technology,3,5,0,1,1,30000
119,23,Male,Mechanical,0,6,1,0,1,90000
120,23,Female,Information Technology,2,6,0,0,1,100000
121,23,Male,Electronics And Communication,1,7,0,0,0,0
122,23,Male,Information Technology,1,5,0,0,1,20000
123,23,Male,Information Technology,1,7,0,0,1,70000
124,23,Male,Mechanical,2,7,1,0,1,30000
125,24,Male,Information Technology,1,5,0,0,0,0
126,24,Male,Information Technology,1,7,0,0,0,0
127,24,Male,Computer Science,2,7,0,0,1,40000
128,24,Male,Electronics And Communication,0,5,0,0,0,0
129,24,Male,Information Technology,1,7,0,0,1,50000
130,23,Male,Mechanical,0,6,1,1,1,100000
131,23,Male,Computer Science,0,6,0,0,0,0
132,23,Female,Mechanical,1,7,1,0,0,0
133,24,Male,Computer Science,1,6,0,0,1,30000
134,23,Male,Mechanical,1,6,1,1,1,90000
135,24,Male,Computer Science,0,6,0,0,1,30000
136,24,Male,Mechanical,0,6,0,0,1,100000
137,24,Male,Information Technology,0,5,0,0,1,40000
138,23,Male,Electrical,0,5,0,0,0,0
139,24,Male,Electrical,0,5,1,0,0,0
140,23,Male,Computer Science,1,5,0,0,1,30000
141,23,Male,Electronics And Communication,0,7,0,0,1,40000
142,24,Male,Information Technology,3,7,0,0,1,30000
143,24,Male,Computer Science,2,5,0,0,1,100000
144,24,Male,Computer Science,2,5,0,0,1,90000
145,23,Male,Civil,0,7,1,0,1,20000
146,24,Male,Information Technology,1,6,0,0,1,70000
147,23,Male,Mechanical,0,5,1,1,0,0
148,23,Male,Electrical,0,6,0,0,0,0
149,24,Male,Computer Science,1,7,0,0,1,30000
150,23,Male,Electrical,0,5,0,0,0,0
151,24,Female,Information Technology,0,5,0,0,0,0
152,23,Male,Computer Science,1,5,0,0,1,40000
153,23,Female,Electronics And Communication,2,6,0,0,0,0
154,24,Male,Civil,0,7,0,0,1,90000
155,24,Male,Electronics And Communication,2,6,0,0,1,80000
156,23,Male,Information Technology,0,5,0,0,0,0
157,24,Male,Computer Science,2,6,0,0,1,20000
158,23,Male,Computer Science,1,6,0,0,0,0
159,24,Male,Computer Science,0,7,0,1,1,30000
160,22,Male,Electronics And Communication,0,7,0,0,1,100000
161,22,Male,Mechanical,0,5,1,0,0,0
162,22,Male,Computer Science,1,5,0,0,0,0
163,21,Male,Computer Science,1,6,0,0,1,80000
164,21,Male,Civil,3,6,1,0,1,100000
165,21,Male,Computer Science,0,6,0,1,1,80000
166,21,Male,Electrical,0,5,0,0,0,0
167,21,Female,Information Technology,1,6,0,0,0,0
168,22,Male,Computer Science,1,5,0,0,0,0
169,22,Male,Computer Science,1,5,0,0,0,0
170,21,Male,Civil,1,6,0,0,1,70000
171,21,Female,Information Technology,2,5,0,0,0,0
172,21,Male,Information Technology,1,6,0,0,1,80000
173,22,Male,Civil,0,6,0,0,0,0
174,22,Male,Civil,0,7,0,1,0,0
175,21,Male,Information Technology,0,7,0,0,1,90000
176,21,Male,Electronics And Communication,0,7,0,0,1,30000
177,22,Female,Information Technology,1,7,1,0,0,0
178,22,Male,Electrical,1,6,0,0,1,80000
179,21,Female,Mechanical,1,5,1,0,0,0
180,22,Female,Information Technology,1,6,1,0,0,0
181,22,Male,Computer Science,2,6,0,0,1,80000
182,21,Male,Electronics And Communication,1,6,0,1,0,0
183,22,Male,Civil,0,5,0,0,0,0
184,21,Male,Electrical,2,5,0,1,0,0
185,22,Male,Civil,1,7,0,0,0,0
186,21,Female,Computer Science,1,7,1,0,0,0
187,21,Male,Computer Science,1,6,0,0,0,0
188,22,Female,Electronics And Communication,1,5,1,0,0,0
189,21,Female,Information Technology,0,6,0,0,0,0
190,22,Male,Computer Science,0,5,0,0,0,0
191,22,Male,Computer Science,0,5,0,0,0,0
192,21,Male,Mechanical,0,7,1,0,0,0
193,21,Male,Computer Science,0,5,0,0,0,0
194,21,Male,Information Technology,0,5,0,1,0,0
195,22,Female,Computer Science,1,5,1,0,0,0
196,21,Male,Electronics And Communication,2,6,1,1,0,0
197,21,Male,Information Technology,1,5,1,1,0,0
198,22,Female,Computer Science,2,7,1,0,0,0
199,21,Male,Computer Science,0,8,0,0,1,70000
200,21,Male,Computer Science,2,7,0,0,1,30000
201,22,Male,Computer Science,1,6,0,0,0,0
202,21,Female,Information Technology,2,6,1,0,1,90000
203,21,Male,Electronics And Communication,1,7,0,0,0,0
204,21,Female,Computer Science,1,7,1,0,0,0
205,21,Male,Mechanical,0,8,1,0,1,90000
206,22,Male,Mechanical,0,8,1,0,1,60000
207,22,Male,Information Technology,1,6,0,0,0,0
208,21,Female,Electrical,0,7,0,0,0,0
209,21,Male,Mechanical,0,8,0,0,1,40000
210,21,Male,Computer Science,2,8,0,0,1,40000
211,21,Male,Information Technology,1,7,0,0,0,0
212,22,Male,Information Technology,0,6,0,1,0,0
213,22,Male,Information Technology,1,8,0,0,1,40000
214,21,Male,Electrical,1,7,0,0,1,30000
215,21,Female,Civil,1,6,0,0,0,0
216,21,Male,Computer Science,3,6,0,0,1,100000
217,21,Male,Civil,1,7,1,0,0,0
218,22,Male,Electrical,1,7,0,0,0,0
219,21,Male,Electronics And Communication,2,6,1,1,0,0
220,22,Male,Electrical,1,8,0,1,1,30000
221,22,Male,Computer Science,2,8,0,0,1,90000
222,21,Male,Mechanical,1,6,1,1,0,0
223,22,Male,Computer Science,0,7,0,0,0,0
224,22,Male,Civil,0,6,0,0,0,0
225,21,Male,Civil,0,6,1,0,0,0
226,21,Female,Computer Science,1,7,1,0,0,0
227,21,Male,Computer Science,2,7,0,0,1,60000
228,21,Female,Mechanical,1,6,1,0,0,0
229,22,Male,Mechanical,0,6,1,0,0,0
230,22,Male,Electronics And Communication,1,8,0,0,1,70000
231,22,Male,Computer Science,1,8,0,0,1,40000
232,21,Female,Information Technology,0,8,0,0,1,70000
233,22,Male,Information Technology,1,7,0,0,0,0
234,21,Male,Information Technology,0,8,0,1,1,50000
235,22,Male,Computer Science,1,8,0,0,1,90000
236,22,Male,Computer Science,1,7,0,0,0,0
237,21,Female,Information Technology,2,7,0,0,1,90000
238,21,Female,Mechanical,1,8,1,0,1,30000
239,21,Female,Computer Science,1,6,1,0,0,0
240,22,Female,Information Technology,1,7,0,0,0,0
241,22,Female,Computer Science,0,6,1,0,0,0
242,21,Male,Information Technology,2,8,1,0,1,20000
243,22,Male,Civil,0,7,1,1,0,0
244,21,Male,Electrical,1,6,0,0,0,0
245,21,Male,Electronics And Communication,2,6,0,0,1,100000
246,21,Male,Mechanical,1,7,1,0,0,0
247,22,Male,Civil,0,7,0,0,0,0
248,22,Female,Electrical,1,6,0,0,0,0
249,22,Male,Computer Science,0,8,0,0,1,60000
250,21,Male,Computer Science,3,8,0,0,1,70000
251,21,Female,Information Technology,0,8,0,1,1,30000
252,22,Male,Electronics And Communication,0,6,0,0,0,0
253,22,Male,Civil,1,7,0,0,0,0
254,22,Male,Information Technology,1,8,1,1,1,20000
255,22,Female,Computer Science,1,8,1,1,1,80000
256,22,Male,Mechanical,1,8,1,0,1,60000
257,21,Male,Electrical,2,6,0,0,1,90000
258,22,Male,Electronics And Communication,1,6,0,0,0,0
259,22,Male,Information Technology,0,8,0,0,1,20000
260,22,Female,Computer Science,1,7,1,0,0,0
261,21,Male,Information Technology,1,8,0,0,1,90000
262,21,Male,Electrical,1,7,0,0,1,100000
263,22,Male,Mechanical,0,8,1,1,1,20000
264,21,Male,Civil,0,6,0,0,0,0
265,21,Male,Information Technology,1,6,0,0,0,0
266,21,Female,Information Technology,1,8,0,0,1,70000
267,22,Male,Electronics And Communication,1,8,1,1,1,50000
268,21,Male,Civil,1,7,0,0,0,0
269,22,Male,Information Technology,2,6,0,0,1,50000
270,21,Male,Electrical,0,6,1,0,0,0
271,22,Male,Information Technology,1,7,1,1,0,0
272,21,Male,Electronics And Communication,0,6,0,0,0,0
273,22,Male,Computer Science,0,8,0,1,1,60000
274,21,Male,Electronics And Communication,1,7,0,0,0,0
275,22,Male,Mechanical,0,6,1,0,0,0
276,21,Male,Civil,0,7,0,0,0,0
277,21,Female,Civil,1,7,1,0,0,0
278,21,Male,Computer Science,1,7,0,0,0,0
279,21,Male,Information Technology,0,6,0,1,1,90000
280,21,Female,Electronics And Communication,2,7,0,0,1,50000
281,22,Female,Mechanical,1,8,1,0,1,20000
282,21,Male,Mechanical,0,6,1,1,1,60000
283,21,Male,Civil,0,7,1,0,1,60000
284,22,Male,Electronics And Communication,0,8,0,0,1,80000
285,21,Male,Electronics And Communication,1,6,1,1,1,20000
286,21,Male,Mechanical,2,6,1,0,0,0
287,22,Male,Computer Science,0,8,0,0,1,100000
288,21,Male,Civil,0,7,0,0,0,0
289,22,Male,Information Technology,0,7,0,0,0,0
290,22,Male,Computer Science,0,7,0,0,0,0
291,22,Male,Civil,1,6,1,0,0,0
292,22,Female,Computer Science,2,6,1,1,0,0
293,22,Male,Electronics And Communication,0,7,0,0,1,20000
294,21,Male,Civil,0,8,0,0,1,60000
295,21,Male,Civil,0,8,0,0,1,20000
296,22,Male,Computer Science,2,6,0,0,1,70000
297,22,Male,Computer Science,2,7,0,0,1,30000
298,22,Male,Electronics And Communication,1,7,1,1,1,100000
299,21,Male,Information Technology,2,7,0,0,1,60000
300,22,Male,Civil,0,6,0,0,0,0
301,22,Male,Civil,1,6,0,0,1,30000
302,21,Male,Electronics And Communication,0,7,0,0,0,0
303,21,Male,Information Technology,0,7,0,0,1,20000
304,22,Male,Electronics And Communication,1,8,0,0,1,30000
305,22,Male,Computer Science,0,6,0,1,0,0
306,22,Male,Electrical,2,8,0,1,1,90000
307,22,Male,Information Technology,0,6,0,1,1,90000
308,22,Female,Computer Science,1,6,1,0,1,50000
309,21,Male,Electrical,0,8,0,0,1,40000
310,21,Male,Computer Science,1,7,0,0,1,50000
311,22,Male,Information Technology,2,7,0,1,1,20000
312,22,Female,Computer Science,1,8,1,0,1,50000
313,22,Male,Civil,0,6,0,0,1,40000
314,22,Male,Mechanical,0,6,1,0,1,100000
315,22,Male,Civil,0,7,0,0,0,0
316,22,Female,Information Technology,0,6,0,0,1,50000
317,22,Male,Electrical,1,8,0,0,1,30000
318,21,Female,Computer Science,0,6,1,0,0,0
319,21,Male,Computer Science,1,6,0,0,1,70000
320,21,Male,Computer Science,0,8,0,0,1,70000
321,21,Male,Mechanical,0,7,0,1,1,60000
322,21,Male,Computer Science,2,8,0,0,1,50000
323,22,Male,Civil,0,8,1,0,1,30000
324,21,Male,Mechanical,1,6,1,0,0,0
325,22,Male,Computer Science,0,8,0,0,1,60000
326,21,Male,Computer Science,1,8,0,0,1,100000
327,21,Male,Electronics And Communication,0,6,0,0,0,0
328,22,Male,Electronics And Communication,1,6,1,1,0,0
329,22,Male,Information Technology,0,8,0,0,1,30000
330,21,Male,Computer Science,1,6,0,0,0,0
331,22,Female,Electrical,0,6,0,0,1,40000
332,22,Male,Electronics And Communication,0,7,0,0,0,0
333,21,Male,Information Technology,0,8,0,0,1,40000
334,22,Male,Mechanical,0,8,1,1,1,70000
335,22,Male,Mechanical,0,7,1,1,0,0
336,21,Male,Electronics And Communication,0,8,0,0,1,80000
337,21,Male,Information Technology,1,6,0,0,0,0
338,22,Female,Computer Science,2,7,1,0,1,80000
339,22,Male,Electronics And Communication,0,7,0,0,0,0
340,21,Male,Electronics And Communication,1,7,0,1,1,70000
341,22,Male,Information Technology,0,8,0,0,1,40000
342,21,Male,Information Technology,0,8,0,0,1,20000
343,22,Female,Electrical,1,8,0,1,1,60000
344,22,Male,Information Technology,1,6,0,0,1,50000
345,22,Male,Mechanical,0,8,1,1,1,50000
346,21,Male,Mechanical,0,6,1,0,1,20000
347,21,Male,Electronics And Communication,1,8,0,0,1,40000
348,21,Male,Civil,0,7,0,0,0,0
349,22,Female,Computer Science,1,8,1,0,1,50000
350,22,Female,Information Technology,1,7,0,0,1,90000
351,21,Male,Mechanical,1,6,1,0,0,0
352,21,Male,Mechanical,0,7,1,0,1,30000
353,21,Male,Electronics And Communication,0,8,0,0,1,90000
354,22,Male,Computer Science,0,6,0,0,1,50000
355,22,Male,Electrical,0,6,0,1,0,0
356,21,Male,Information Technology,2,8,0,0,1,30000
357,22,Male,Electrical,0,8,0,0,1,100000
358,21,Male,Electronics And Communication,1,7,0,0,0,0
359,22,Male,Mechanical,0,7,1,0,1,60000
360,22,Male,Electronics And Communication,0,7,0,0,0,0
361,21,Male,Computer Science,1,8,0,0,1,90000
362,22,Male,Electronics And Communication,0,8,0,0,1,20000
363,21,Male,Computer Science,0,8,0,1,1,70000
364,21,Male,Information Technology,1,7,0,1,0,0
365,22,Male,Electronics And Communication,0,7,0,0,0,0
366,22,Male,Computer Science,1,6,0,0,0,0
367,21,Male,Computer Science,0,8,0,1,1,60000
368,21,Female,Electrical,0,6,0,0,0,0
369,21,Male,Information Technology,0,6,0,0,0,0
370,22,Male,Computer Science,2,8,0,0,1,90000
371,21,Female,Computer Science,1,7,1,0,0,0
372,22,Male,Information Technology,0,6,0,0,0,0
373,22,Male,Information Technology,0,6,0,0,0,0
374,22,Male,Civil,1,6,1,0,0,0
375,22,Male,Mechanical,0,7,0,0,0,0
376,21,Male,Mechanical,0,8,1,0,1,60000
377,21,Female,Information Technology,0,6,0,0,0,0
378,21,Male,Mechanical,1,6,1,1,0,0
379,22,Male,Computer Science,0,7,0,1,0,0
380,21,Male,Computer Science,0,7,0,0,0,0
381,22,Male,Information Technology,0,8,0,0,1,30000
382,21,Male,Computer Science,0,6,0,0,0,0
383,21,Male,Information Technology,1,6,1,0,0,0
384,22,Female,Electronics And Communication,1,6,0,1,0,0
385,21,Male,Information Technology,0,6,0,0,0,0
386,21,Male,Computer Science,1,8,0,0,1,90000
387,22,Male,Mechanical,1,6,1,0,0,0
388,22,Female,Electronics And Communication,0,7,0,0,0,0
389,22,Female,Information Technology,0,7,0,1,0,0
390,22,Male,Civil,0,6,0,0,0,0
391,22,Male,Mechanical,0,8,1,0,1,50000
392,21,Male,Electronics And Communication,0,8,0,0,1,40000
393,22,Male,Computer Science,1,6,0,0,0,0
394,21,Male,Mechanical,0,6,1,0,0,0
395,21,Male,Information Technology,1,8,0,0,1,100000
396,21,Male,Electronics And Communication,1,8,1,1,1,100000
397,21,Male,Electronics And Communication,2,8,0,0,1,50000
398,21,Female,Electronics And Communication,2,7,0,0,1,90000
399,21,Male,Information Technology,0,6,0,1,0,0
400,22,Male,Electrical,0,6,0,0,0,0
401,22,Male,Mechanical,1,6,0,0,0,0
402,21,Male,Electronics And Communication,1,6,0,1,0,0
403,21,Female,Information Technology,1,5,1,0,0,0
404,21,Female,Computer Science,0,6,1,1,0,0
405,22,Male,Information Technology,1,5,0,0,0,0
406,21,Male,Mechanical,1,5,1,1,0,0
407,21,Male,Information Technology,2,6,1,0,1,80000
408,21,Male,Computer Science,2,5,0,1,0,0
409,22,Male,Electrical,0,5,0,0,0,0
410,21,Male,Information Technology,0,5,0,1,0,0
411,22,Male,Electronics And Communication,2,7,0,1,0,0
412,21,Male,Electrical,0,7,0,1,0,0
413,21,Male,Electronics And Communication,1,6,1,1,0,0
414,22,Male,Computer Science,1,6,0,0,0,0
415,22,Male,Mechanical,0,6,1,0,0,0
416,22,Male,Computer Science,2,6,0,0,1,50000
417,21,Male,Electrical,0,6,0,0,0,0
418,22,Male,Civil,0,6,1,0,0,0
419,22,Male,Information Technology,0,7,0,0,0,0
420,21,Male,Computer Science,0,6,0,1,0,0
421,22,Male,Electrical,2,6,0,1,0,0
422,22,Male,Computer Science,1,6,0,0,0,0
423,21,Male,Computer Science,1,7,0,0,0,0
424,22,Male,Mechanical,0,8,1,0,1,30000
425,21,Male,Electrical,3,7,0,0,1,50000
426,22,Male,Mechanical,0,8,1,1,1,60000
427,21,Male,Electrical,0,6,0,0,0,0
428,21,Female,Computer Science,0,8,1,0,1,50000
429,21,Male,Computer Science,0,7,0,0,0,0
430,21,Female,Electrical,1,6,0,0,0,0
431,22,Female,Civil,1,8,0,0,1,70000
432,21,Male,Civil,0,8,0,0,1,100000
433,21,Male,Information Technology,1,6,0,0,0,0
434,21,Male,Computer Science,1,6,0,0,0,0
435,21,Male,Mechanical,0,6,1,1,0,0
436,21,Male,Civil,0,7,0,0,0,0
437,21,Female,Information Technology,1,8,1,0,1,60000
438,22,Male,Civil,0,8,0,0,1,50000
439,22,Male,Computer Science,0,7,0,1,0,0
440,21,Male,Electrical,0,6,0,0,0,0
441,21,Male,Electrical,1,6,0,1,0,0
442,22,Male,Electronics And Communication,1,8,0,1,1,20000
443,21,Male,Computer Science,0,7,0,1,0,0
444,21,Male,Computer Science,0,7,0,1,0,0
445,21,Male,Civil,1,8,0,1,1,80000
446,22,Male,Information Technology,0,8,0,0,1,60000
447,21,Male,Electronics And Communication,0,6,0,0,0,0
448,28,Male,Civil,0,8,1,0,1,60000
449,21,Male,Computer Science,2,7,0,0,1,60000
450,22,Male,Electronics And Communication,2,6,0,0,1,40000
451,21,Male,Information Technology,1,8,1,0,1,90000
452,22,Male,Mechanical,0,6,1,0,1,50000
453,21,Male,Mechanical,0,8,1,0,1,30000
454,21,Male,Information Technology,1,6,0,0,0,0
455,22,Female,Mechanical,1,7,1,0,0,0
456,22,Male,Electronics And Communication,0,8,0,0,1,30000
457,21,Male,Electrical,0,6,0,0,0,0
458,21,Male,Mechanical,0,6,1,0,1,40000
459,22,Male,Mechanical,0,7,1,0,0,0
460,22,Male,Electronics And Communication,1,6,1,1,0,0
461,22,Male,Computer Science,0,7,0,1,1,100000
462,21,Male,Computer Science,0,7,0,0,1,80000
463,22,Male,Computer Science,0,8,0,1,1,100000
464,22,Male,Information Technology,1,6,1,0,0,0
465,21,Male,Electronics And Communication,0,6,0,0,0,0
466,22,Male,Computer Science,0,6,0,0,1,50000
467,21,Male,Civil,0,6,0,0,1,90000
468,22,Female,Information Technology,1,8,0,0,1,40000
469,21,Male,Information Technology,1,8,0,0,1,70000
470,21,Male,Mechanical,0,8,1,0,1,60000
471,22,Male,Civil,0,6,0,0,0,0
472,22,Male,Electrical,0,7,0,1,0,0
473,21,Male,Information Technology,1,6,0,1,1,80000
474,21,Male,Mechanical,1,6,1,0,0,0
475,22,Male,Mechanical,0,6,1,1,1,100000
476,22,Female,Information Technology,0,7,0,0,1,90000
477,22,Male,Information Technology,2,7,0,0,0,0
478,21,Male,Computer Science,3,8,0,0,1,20000
479,22,Male,Computer Science,0,6,0,0,1,20000
480,21,Male,Computer Science,0,8,0,1,1,70000
481,21,Female,Information Technology,1,8,0,1,1,90000
482,21,Female,Computer Science,0,8,1,1,1,30000
483,22,Male,Information Technology,1,6,0,0,1,30000
484,21,Male,Electronics And Communication,0,8,0,1,1,60000
485,22,Female,Mechanical,1,7,1,0,0,0
486,21,Male,Information Technology,1,8,1,0,1,30000
487,22,Male,Electrical,0,6,0,0,0,0
488,22,Male,Mechanical,0,7,1,0,0,0
489,22,Male,Civil,0,6,1,0,0,0
490,22,Male,Information Technology,0,6,0,1,1,80000
491,22,Male,Electronics And Communication,1,7,0,0,0,0
492,21,Male,Information Technology,1,8,0,0,1,70000
493,22,Male,Electrical,1,7,0,0,0,0
494,22,Male,Mechanical,0,6,1,0,1,70000
495,21,Male,Civil,2,6,1,0,1,60000
496,22,Male,Electronics And Communication,0,6,0,0,1,50000
497,21,Male,Computer Science,0,7,0,0,1,20000
498,22,Male,Mechanical,0,7,1,1,0,0
499,22,Male,Mechanical,2,7,1,0,1,80000
500,22,Male,Mechanical,0,7,1,0,1,70000
501,21,Male,Computer Science,0,7,0,0,0,0
502,22,Male,Computer Science,1,7,0,0,1,20000
503,21,Male,Electrical,0,6,0,0,1,100000
504,22,Male,Civil,0,6,0,0,0,0
505,21,Male,Information Technology,3,8,1,0,1,100000
506,22,Female,Electronics And Communication,3,8,1,1,1,70000
507,21,Male,Information Technology,0,7,0,1,1,90000
508,21,Male,Computer Science,1,8,0,0,1,100000
509,21,Male,Information Technology,0,7,0,0,0,0
510,21,Male,Mechanical,2,6,1,0,1,90000
511,22,Male,Mechanical,0,8,1,0,1,70000
512,21,Female,Computer Science,1,8,1,0,1,60000
513,22,Male,Electrical,0,8,0,1,1,20000
514,21,Male,Civil,1,8,0,0,1,80000
515,22,Female,Computer Science,1,7,1,0,0,0
516,21,Male,Electrical,0,7,0,0,0,0
517,21,Female,Information Technology,0,7,0,0,0,0
518,21,Female,Computer Science,1,8,1,0,1,90000
519,21,Male,Computer Science,1,8,0,0,1,80000
520,21,Male,Electronics And Communication,1,6,0,0,0,0
521,22,Male,Mechanical,0,8,1,0,1,80000
522,22,Male,Electronics And Communication,1,8,0,0,1,100000
523,21,Male,Computer Science,1,6,0,0,0,0
524,21,Male,Civil,0,7,0,0,0,0
525,22,Male,Electronics And Communication,1,7,0,1,0,0
526,22,Male,Electrical,1,7,0,0,0,0
527,22,Male,Electrical,0,8,0,0,1,20000
528,21,Male,Information Technology,1,8,0,0,1,30000
529,22,Male,Mechanical,2,7,1,0,0,0
530,21,Male,Civil,0,6,1,1,0,0
531,22,Male,Mechanical,1,6,1,0,0,0
532,22,Male,Electronics And Communication,1,7,0,0,0,0
533,22,Male,Mechanical,1,7,1,0,0,0
534,22,Female,Mechanical,1,8,0,0,1,70000
535,21,Male,Computer Science,0,7,0,1,0,0
536,21,Male,Electronics And Communication,0,8,0,0,1,70000
537,21,Male,Mechanical,1,7,0,0,0,0
538,22,Male,Information Technology,0,7,0,0,0,0
539,21,Male,Computer Science,2,7,0,0,1,20000
540,22,Male,Civil,1,8,0,0,1,70000
